Q189599	基思·理查兹
Q2424893	帕蒂·汉森
Q272579	珍妮士·鍾絲
Q5365612	埃利奧特·阿諾德
Q19810	维多利亚·贝克汉姆
Q10520	大卫·贝克汉姆
Q19182	阿丽莎·迪克森
Q96323450	艾苏卡·阿农依
Q7516	約翰·李·米勒
Q13909	安吉丽娜·朱莉
Q33760	伯特兰·罗素
Q4355033	多拉·布莱克
Q7416	玛格丽特·撒切尔
Q46172	丹尼斯·撒切尔
Q34851	伊丽莎白·泰勒
Q1126952	小康拉德
Q36812	劍橋公爵威廉王子
Q10479	凱薩琳
Q7145817	派屈西亚·斯彭斯
Q25554	馬庫斯·蒙福
Q219655	凱莉·穆里根
Q40874	多丽丝·莱辛
Q215347	戈特弗里德·萊辛
Q11481	凯瑟琳·布思
Q3090592	安德鲁·唐纳德·布思
Q191104	肖恩·比恩
Q5478613	梅蘭妮·希爾
Q190576	马修·贝勒米
Q13643654	琳赛·伊万斯
Q182104	潔西卡·坦迪
Q26118	傑克·霍金斯
Q40103	托比·斯蒂芬斯
Q547293	安娜-露薏絲·普羅曼
Q26062	羅伯特·博爾特
Q231187	莎拉·米爾斯
Q35064	阿加莎·克里斯蒂
Q16821733	阿奇博爾德·克莉絲蒂
Q48187	埃里克·克莱普顿
Q234074	贝蒂·伯伊德
Q23760	罗温·阿特金森
Q22669972	苏涅特拉·萨斯特里
Q9685	威爾斯王妃戴安娜
Q43274	查尔斯三世
Q41042	哈罗德·品特
Q266397	維維安·梅爾占特
Q44461	理查德·道金斯
Q439404	莱拉·沃德
Q44467	奥兰多·布鲁姆
Q127454	米蘭達·凱爾
Q9545	托尼·布莱尔
Q174214	彭雪玲
Q40054	乔纳森·罗斯
Q32661	珍·古德曼
Q2599	保罗·麦卡特尼
Q228899	琳達·伊士曼
Q19845	潔芮·哈利維爾
Q173472	克里斯蒂安·霍納
Q882	差利·卓別靈
Q137808	烏娜·奧尼爾
Q10648	戈登·布朗
Q2986943	萨拉·麦考利
Q28054	茱蒂·丹契
Q1929848	麥可·威廉斯
Q10664	内维尔·张伯伦
Q4768219	安妮·张伯伦
Q25078	特里·吉列姆
Q22240704	瑪姬·韋斯頓
Q19217	林鄭月娥
Q30947265	林兆波
Q42786	奥黛丽·赫本
Q333475	梅爾·費勒
Q17522	赫莎·馬克斯·艾爾頓
Q1346521	威廉·愛德華·艾爾頓
Q11998	凯莉·米诺格
Q16735484	約書亞·薩塞
Q4667671	艾比蓋兒·克魯滕登
Q45909	约翰·凯尔
Q467665	貝齊·莊遜
Q242796	安東妮亞·弗雷澤
Q203165	阿爾瑪·雷維爾
Q7374	阿尔弗雷德·希区柯克
Q464810	約翰·溫納
Q40909	弗吉尼亚·吴尔夫
Q703935	伦纳德·伍尔夫
Q2593	马修·沃恩
Q76717	歌地亞·雪花
Q32337	丽泰·格雷
Q4738704	爱丽丝·皮尔索尔·史密斯
Q185165	奧莉維亞·紐頓-約翰
Q1166818	馬特·拉坦齊
Q29055	沙查·諾姆·巴隆·科恩
Q228638	艾絲拉·費雪
Q9682	伊丽莎白二世
Q80976	爱丁堡公爵菲利普亲王
Q28493	雷夫·范恩斯
Q232187	阿莉克丝·金斯顿
Q206939	艾維斯·卡斯提洛
Q155879	戴安娜·克拉尔
Q25191	克里斯托弗·诺兰
Q242951	艾玛·托马斯
Q181887	雷克斯·哈里遜
Q254828	瑞切爾·羅伯茲
Q17714	史蒂芬·霍金
Q1682604	简·霍金
Q37767	T·S·艾略特
Q7937883	薇薇安·海伍德·艾略特
Q40228	克萊兒·馥蘭妮
Q452788	多格雷·斯科特
Q151973	理查德·伯顿
Q45923	阿隆·強森
Q1273122	森·泰來-活
Q1385992	邁克爾·威爾丁
Q454442	马克思·马洛温
Q7911263	瓦莱莉·艾略特
Q95050	寶蓮·高黛
Q189453	泽娜·米歇尔
Q16015529	伊萬·福克斯威爾
Q536106	安德烈·多蒂
Q10510	简森·巴顿
Q202756	道端Jessica
Q4547	丹尼尔·克雷格
Q134077	麗素·慧絲
Q5338545	伊迪丝·芬奇
Q44306	薩爾曼·魯西迪
Q6762285	瑪麗安·威金斯
Q240566	麥克·托德
Q892	約翰·羅納德·魯埃爾·托爾金
Q82052	伊迪絲·托爾金
Q44279	奥利弗·克伦威尔
Q3375118	伊丽莎白·克伦威尔
Q25161	羅爾德·達爾
Q191027	帕翠夏·尼爾
Q31291	第十一代貝德福德公爵赫布蘭德·羅素
Q38118	貝德福德公爵夫人瑪麗·羅素
Q47664	凯瑟琳·泽塔-琼斯
Q119798	邁克爾·道格拉斯
Q152239	卡蜜拉
Q16208883	哈维
Q189947	尼克·克萊格
Q13142308	米里亞姆‧克萊格
Q42581	凯拉·奈特利
Q5925855	詹姆斯·莱顿
Q25014	约翰·克里斯
Q255335	康尼·布符
Q34975	布赖恩·考克斯
Q22326557	妮科尔·安萨里-考克斯
Q16400	韩素音
Q28864829	里昂·唐柏
Q60953	莉莉·巴露瑪
Q189144	沃爾特·雷利
Q1331334	伊麗莎白·思羅克莫頓
Q363708	艾迪·费舍
Q464835	帕德瑪·拉克什米
Q10633	伊麗莎白·鮑斯-萊昂
Q280856	喬治六世
Q12665	羅伯特·貝登堡
Q231525	奧莉芙·貝登堡
Q8016	温斯顿·丘吉尔
Q263454	克萊門汀·邱吉爾
Q3335	乔治·奥威尔
Q7561744	索尼婭·奧威爾
Q193517	愛美莉·賓特
Q313039	約翰·卡拉辛斯基
Q241019	米爾德里德·哈里斯
Q9317	约翰·梅纳德·凯恩斯
Q271920	莉迪亞·樂甫歌娃
Q35610	阿瑟·柯南·道尔
Q22704340	路易莎·霍金斯
Q2643	乔治·哈里森
Q9576	詹姆斯·卡拉漢
Q2870827	柯德莉·卡拉漢
Q24203228	玛格丽特·凯普森
Q181243	艾潔妮絲·迪恩
Q224081	喬凡尼·瑞比西
Q3291240	玛丽安·道金斯
Q179414	凱特·貝琴薩
Q336099	連恩·懷斯曼
Q2632	林格·斯塔
Q233993	芭芭拉·巴赫
Q7201	李大斐
Q318054	李约瑟
Q192990	盖伊·里奇
Q1744	麥當娜
Q9559	约翰·梅杰
Q3343721	諾爾瑪·梅傑
Q178698	威斯坦·休·奥登
Q61597	艾莉卡·曼
Q1203	約翰·列儂
Q117012	小野洋子
Q273484	艾蜜莉亞·華納
Q976022	詹米·多南
Q207672	威廉·威伯福斯
Q4859315	芭芭拉·威伯福斯
Q276620	汤姆·史密斯
Q4351984	伊迪絲·鮑曼
Q266568	海瑟·米尔斯
Q1512	罗伯特·路易斯·史蒂文森
Q3066501	芬妮·史蒂文森
Q272527	斯蒂法妮·比彻姆
